Wavelength,R1
nm,MicroAmps
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1E-6
243,1E-5
244,1.4E-5
245,1.7E-5
246,2E-5
247,2.4E-5
248,2.7E-5
249,3.1E-5
250,3.5E-5
251,3.8E-5
252,4.2E-5
253,4.4E-5
254,4.9E-5
255,5.2E-5
256,5.5E-5
257,5.9E-5
258,6.2E-5
259,6.4E-5
260,6.8E-5
261,7.1E-5
262,7.2E-5
263,7.6E-5
264,7.8E-5
265,8.1E-5
266,8.4E-5
267,8.4E-5
268,8.8E-5
269,9.2E-5
270,9.5E-5
271,1E-4
272,1.03E-4
273,1.08E-4
274,1.12E-4
275,1.19E-4
276,1.26E-4
277,1.31E-4
278,1.41E-4
279,1.48E-4
280,1.58E-4
281,1.68E-4
282,1.78E-4
283,1.88E-4
284,2.02E-4
285,2.09E-4
286,2.23E-4
287,2.37E-4
288,2.5E-4
289,2.63E-4
290,2.9E-4
291,2.97E-4
292,3.12E-4
293,3.24E-4
294,3.44E-4
295,3.57E-4
296,3.76E-4
297,3.94E-4
298,4.1E-4
299,4.29E-4
300,4.46E-4
301,4.62E-4
302,4.83E-4
303,4.97E-4
304,5.21E-4
305,5.33E-4
306,5.56E-4
307,5.74E-4
308,5.98E-4
309,6.13E-4
310,6.41E-4
311,6.56E-4
312,6.91E-4
313,7.04E-4
314,7.27E-4
315,7.45E-4
316,7.68E-4
317,7.9E-4
318,8.12E-4
319,8.42E-4
320,8.63E-4
321,8.97E-4
322,9.3E-4
323,9.53E-4
324,9.71E-4
325,9.93E-4
326,0.001027
327,0.001052
328,0.001079
329,0.001116
330,0.001137
331,0.00118
332,0.001197
333,0.001242
334,0.001268
335,0.001301
336,0.001334
337,0.001361
338,0.001397
339,0.001424
340,0.001459
341,0.001486
342,0.001519
343,0.001534
344,0.00158
345,0.001599
346,0.001626
347,0.001664
348,0.001676
349,0.001717
350,0.001732
351,0.001761
352,0.001782
353,0.001809
354,0.001825
355,0.001846
356,0.001858
357,0.001879
358,0.0019
359,0.001911
360,0.001938
361,0.001942
362,0.001975
363,0.001974
364,0.002012
365,0.002015
366,0.002057
367,0.002079
368,0.002105
369,0.002133
370,0.002182
371,0.002186
372,0.002231
373,0.002257
374,0.002274
375,0.002323
376,0.002358
377,0.002401
378,0.002458
379,0.002488
380,0.002555
381,0.002586
382,0.002601
383,0.002616
384,0.002654
385,0.002644
386,0.002702
387,0.002725
388,0.002785
389,0.002842
390,0.00291
391,0.002951
392,0.003039
393,0.003087
394,0.003191
395,0.003367
396,0.00345
397,0.00352
398,0.0035
399,0.003452
400,0.003394
401,0.003415
402,0.003417
403,0.003469
404,0.00352
405,0.003599
406,0.003626
407,0.003743
408,0.003827
409,0.003879
410,0.003918
411,0.003996
412,0.004067
413,0.004051
414,0.004027
415,0.004045
416,0.004042
417,0.004087
418,0.004305
419,0.004445
420,0.004326
421,0.00421
422,0.004206
423,0.004185
424,0.00424
425,0.004218
426,0.004218
427,0.004259
428,0.004222
429,0.004244
430,0.004265
431,0.004231
432,0.004273
433,0.004274
434,0.004299
435,0.004328
436,0.004377
437,0.004533
438,0.004625
439,0.004484
440,0.004428
441,0.004475
442,0.004423
443,0.004439
444,0.004431
445,0.004396
446,0.004411
447,0.004375
448,0.004519
449,0.005668
450,0.005289
451,0.004961
452,0.005128
453,0.004615
454,0.004653
455,0.004689
456,0.004931
457,0.005215
458,0.005081
459,0.004914
460,0.005099
461,0.005733
462,0.006372
463,0.00591
464,0.005378
465,0.00544
466,0.007125
467,0.008398
468,0.006915
469,0.006184
470,0.005455
471,0.004995
472,0.006211
473,0.0057
474,0.004701
475,0.004471
476,0.004386
477,0.004342
478,0.004413
479,0.004762
480,0.005515
481,0.005318
482,0.005357
483,0.005134
484,0.004905
485,0.004698
486,0.004592
487,0.004561
488,0.004655
489,0.004649
490,0.004978
491,0.005965
492,0.005818
493,0.005379
494,0.00509
495,0.005017
496,0.004975
497,0.005047
498,0.005064
499,0.005125
500,0.005206
501,0.005262
502,0.00544
503,0.005465
504,0.005433
505,0.005497
506,0.005514
507,0.005536
508,0.005575
509,0.005602
510,0.005608
511,0.005694
512,0.005728
513,0.005743
514,0.005718
515,0.005722
516,0.005711
517,0.005746
518,0.005695
519,0.005721
520,0.005706
521,0.005653
522,0.005687
523,0.005652
524,0.005626
525,0.005605
526,0.005591
527,0.00555
528,0.005565
529,0.00551
530,0.005494
531,0.00549
532,0.005459
533,0.005467
534,0.00542
535,0.005438
536,0.005375
537,0.005356
538,0.005333
539,0.005336
540,0.005357
541,0.005333
542,0.005339
543,0.005291
544,0.005288
545,0.005261
546,0.005217
547,0.005251
548,0.005146
549,0.005194
550,0.005159
551,0.005129
552,0.005153
553,0.005098
554,0.005101
555,0.005059
556,0.005063
557,0.005023
558,0.00503
559,0.004971
560,0.004993
561,0.004944
562,0.004914
563,0.00491
564,0.004882
565,0.004884
566,0.004849
567,0.00487
568,0.004844
569,0.004879
570,0.004811
571,0.004803
572,0.004795
573,0.004762
574,0.004762
575,0.004752
576,0.00474
577,0.004712
578,0.004751
579,0.004691
580,0.004703
581,0.004693
582,0.004712
583,0.004725
584,0.004719
585,0.004686
586,0.004722
587,0.004641
588,0.004651
589,0.004637
590,0.004571
591,0.004572
592,0.004496
593,0.004446
594,0.004404
595,0.004356
596,0.004285
597,0.004264
598,0.004203
599,0.004193
600,0.004124
601,0.004125
602,0.004096
603,0.004087
604,0.004042
605,0.004037
606,0.003996
607,0.003996
608,0.003977
609,0.004003
610,0.003987
611,0.004008
612,0.004024
613,0.004035
614,0.004062
615,0.004034
616,0.004104
617,0.0041
618,0.00413
619,0.004151
620,0.004105
621,0.004083
622,0.004018
623,0.003929
624,0.003886
625,0.00379
626,0.003765
627,0.00369
628,0.003672
629,0.003636
630,0.003617
631,0.003552
632,0.003499
633,0.003418
634,0.00327
635,0.003151
636,0.003081
637,0.00308
638,0.003064
639,0.003103
640,0.003113
641,0.003171
642,0.003231
643,0.003325
644,0.003453
645,0.003607
646,0.003879
647,0.00409
648,0.004248
649,0.004314
650,0.004303
